Orden,N,titulo,tema,descripcion,Equipo,activo,link
3,1,Ofertas de alquiler de vivienda en Buenos Aires,Mercado inmobiliario,Extracción de datos mediante Web Scraping y construcción de visualización de publicaciones de alquiler en CABA,Elaboración individual,1,https://sebiro.shinyapps.io/Tablero-OMI/
8,2,Deficit Habitacional,Integración sociourbana,Construcción metodológica de un indicador del déficit habitacional a partir de la información provista por la Encuesta Permanente de Hogares,Elaboración individual,0,https://rpubs.com/sebiro/DeficitHabitacional
4,3,Análisis de la cartera de Obras de Integración,Integración sociourbana,"Análisis de la cartera de la gestión de la Secretaría de Integración Socio Urbana, a partir de información disponible en datos abiertos.",Elaboración individual,1,https://rpubs.com/sebiro/CarteraSISU
5,4,Mesa de estudio de viviendas vacías,Dinámicas urbanas,Definición y cálculo de la vacancia en viviendas de CABA a partir de datos de consumo eléctrico,Observatorio IVC,1,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/instituto-de-vivienda/informes-coyuntura-habitacional/informe_mesa_de_estudio_de_viviendas_vacias.pdf
6,5,Monitor de Obras de Integración Socio Urbana,Integración sociourbana,Monitor abierto para difusión y seguimiento de las obras de integración realizadas por la Secretaría de Integración Socio Urbana,Secretaria de Integración Socio Urbana,1,https://lookerstudio.google.com/u/0/reporting/3b5376df-428e-4cb6-bdf7-a20026dfa23a/page/muTcD
7,6,Matriz de indicadores de vivienda de Buenos Aires,Dinámicas urbanas,Monitor abierto para el seguimiento de variables escogidas de la situación habitacional en la Ciudad de Buenos Aires.,Observrario IVC y DG CIGA,1,https://app.powerbi.com/view?r=eyJrIjoiZGJkNzY5MmYtMjI3ZC00ZjhiLWJiYTgtODk5ZWUzOTI2ZDVkIiwidCI6IjIzNzc0NzJlLTgwMDQtNDY0OC04NDU2LWJkOTY4N2FmYTE1MCIsImMiOjR9
2,7,Viviendas vacantes en ciudades argentinas,Dinámicas urbanas,Estudio de la vacancia de inmuebles residenciales en función de datos de consumo eléctrico.,"CIPPEC, IIGG (UBA), LILP",1,
1,8,De los barrios populares a la ciudad formal,Integración sociourbana,Instrumentos de financiamiento para un plan nacional de integración socio-urbana.,FUNDAR y TECHO,1,https://fund.ar/publicacion/de-los-barrios-populares-a-la-ciudad-formal-aportes-para-un-plan-nacional-de-integracion-sociourbana/ 
9,9,División social del espacio,Dinámicas urbanas,,,0,
10,10,Gentrificación,Dinámicas urbanas,,,0,
11,11,Nuevas centralidades a partir de la pandemia,Dinámicas urbanas,"Un abordaje preliminar, con datos de transporte público, construcción y comercios",Trabajo Diplomatura UTDT,1,https://drive.google.com/file/d/1XAWfrzOEMGUasEtXyfTOPPqC8Ztjlgpj/view?usp=sharing